@relation G1_21_07-weka.filters.unsupervised.attribute.Remove-R1

@attribute Room {'L2.MC','PL1.MC','L1.MC','PL2.MC','SRMC'}
@attribute 00:0c:42:05:4b:5f numeric
@attribute 00:12:a9:17:00:46 numeric
@attribute 00:12:a9:17:00:48 numeric
@attribute 00:12:a9:17:00:c6 numeric
@attribute 00:12:a9:17:00:c8 numeric
@attribute 00:12:a9:17:11:06 numeric
@attribute 00:12:a9:17:11:08 numeric
@attribute 00:12:a9:17:24:c6 numeric
@attribute 00:12:a9:17:24:c8 numeric
@attribute 00:12:a9:17:4a:c6 numeric
@attribute 00:12:a9:17:4a:c8 numeric
@attribute 00:12:a9:17:50:c8 numeric
@attribute 00:12:a9:17:6b:06 numeric
@attribute 00:12:a9:17:6b:08 numeric
@attribute 00:12:a9:17:7b:46 numeric
@attribute 00:12:a9:17:7b:48 numeric
@attribute 00:12:a9:17:90:06 numeric
@attribute 00:12:a9:17:90:08 numeric
@attribute 00:13:80:94:14:80 numeric
@attribute 00:24:b2:8d:28:66 numeric


@data
'PL1.MC',-110.50291269643023,-102.63030657516012,-110.50291269643023,-86.88509433261993,-101.05578535090612,-101.05578535090612,-97.90674290239807,-110.50291269643023,-110.50291269643023,-99.48126412665209,-99.48126412665209,-110.50291269643023,-110.50291269643023,-110.50291269643023,-64.84179719306366,-79.01248821134983,-110.50291269643023,-110.50291269643023,-110.50291269643023,-110.50291269643023
'PL1.MC',-110.50291269643023,-102.63030657516012,-110.50291269643023,-86.88509433261993,-101.05578535090612,-101.05578535090612,-97.90674290239807,-110.50291269643023,-110.50291269643023,-99.48126412665209,-99.48126412665209,-110.50291269643023,-110.50291269643023,-110.50291269643023,-64.84179719306366,-79.01248821134983,-110.50291269643023,-110.50291269643023,-110.50291269643023,-110.50291269643023
'PL1.MC',-110.50291269643023,-110.50291269643023,-110.50291269643023,-86.88509433261993,-101.05578535090612,-101.05578535090612,-97.90674290239807,-110.50291269643023,-110.50291269643023,-99.48126412665209,-99.48126412665209,-110.50291269643023,-110.50291269643023,-110.50291269643023,-64.84179719306366,-79.01248821134983,-110.50291269643023,-110.50291269643023,-110.50291269643023,-110.50291269643023
'PL1.MC',-110.50291269643023,-110.50291269643023,-110.50291269643023,-86.88509433261993,-101.05578535090612,-82.16153065985787,-82.16153065985787,-110.50291269643023,-110.50291269643023,-99.48126412665209,-99.48126412665209,-110.50291269643023,-110.50291269643023,-110.50291269643023,-66.41631841731768,-67.9908396415717,-110.50291269643023,-110.50291269643023,-110.50291269643023,-110.50291269643023
'PL1.MC',-110.50291269643023,-110.50291269643023,-110.50291269643023,-86.88509433261993,-101.05578535090612,-82.16153065985787,-82.16153065985787,-110.50291269643023,-110.50291269643023,-99.48126412665209,-99.48126412665209,-110.50291269643023,-110.50291269643023,-110.50291269643023,-66.41631841731768,-67.9908396415717,-110.50291269643023,-110.50291269643023,-110.50291269643023,-110.50291269643023
'PL1.MC',-110.50291269643023,-110.50291269643023,-110.50291269643023,-101.05578535090612,-110.50291269643023,-82.16153065985787,-82.16153065985787,-110.50291269643023,-110.50291269643023,-110.50291269643023,-110.50291269643023,-110.50291269643023,-110.50291269643023,-110.50291269643023,-69.56536086582571,-67.9908396415717,-110.50291269643023,-110.50291269643023,-110.50291269643023,-110.50291269643023
'PL1.MC',-110.50291269643023,-110.50291269643023,-110.50291269643023,-101.05578535090612,-110.50291269643023,-82.16153065985787,-82.16153065985787,-110.50291269643023,-110.50291269643023,-110.50291269643023,-110.50291269643023,-110.50291269643023,-110.50291269643023,-110.50291269643023,-67.9908396415717,-67.9908396415717,-110.50291269643023,-110.50291269643023,-110.50291269643023,-110.50291269643023
'PL1.MC',-110.50291269643023,-110.50291269643023,-110.50291269643023,-101.05578535090612,-110.50291269643023,-82.16153065985787,-82.16153065985787,-110.50291269643023,-110.50291269643023,-110.50291269643023,-110.50291269643023,-110.50291269643023,-110.50291269643023,-110.50291269643023,-67.9908396415717,-67.9908396415717,-110.50291269643023,-110.50291269643023,-110.50291269643023,-110.50291269643023
'PL1.MC',-110.50291269643023,-110.50291269643023,-110.50291269643023,-101.05578535090612,-110.50291269643023,-74.28892453858778,-82.16153065985787,-110.50291269643023,-110.50291269643023,-110.50291269643023,-110.50291269643023,-110.50291269643023,-110.50291269643023,-110.50291269643023,-67.9908396415717,-67.9908396415717,-110.50291269643023,-110.50291269643023,-110.50291269643023,-110.50291269643023
'PL1.MC',-110.50291269643023,-110.50291269643023,-110.50291269643023,-101.05578535090612,-110.50291269643023,-74.28892453858778,-82.16153065985787,-110.50291269643023,-110.50291269643023,-110.50291269643023,-110.50291269643023,-110.50291269643023,-110.50291269643023,-110.50291269643023,-71.13988209007974,-66.41631841731768,-110.50291269643023,-110.50291269643023,-110.50291269643023,-110.50291269643023
